                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4714,                 3.9874,                 1.1625,                0.00374,                0.34211,                0.15268,                  0.098,                 1.0941,                 4.0485,                0.96487,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.2613,                 3.6351,                 1.0823,                0.00452,                0.34211,                0.25288,                0.18376,                 1.0105,                 3.8612,                0.91176,             0.00015408,             0.00015408,             0.00015408
                      3,                  1.179,                 3.0224,                 1.0437,                0.00537,                0.35163,                0.26638,                0.19705,                 1.0512,                 3.5933,                0.94135,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.1268,                 2.2156,                0.98455,                0.97313,                   0.25,                0.36108,                0.26951,                 1.0522,                 3.3322,                0.93928,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.1502,                 1.7043,                 0.9697,                0.89985,                0.29111,                0.61731,                0.42613,                 1.0199,                 2.7696,                0.93376,             0.00038159,             0.00038159,             0.00038159
                      6,                 1.1696,                 1.4972,                 0.9405,                0.83821,                0.29167,                0.69709,                0.53039,                0.93579,                 2.4543,                0.91117,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.1301,                 1.4272,                 0.9244,                0.72768,                0.59008,                0.84216,                 0.6359,                 1.0119,                 2.0605,                0.93796,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.3314,                 1.7411,                  1.088,                0.79104,                0.85192,                0.94002,                0.73021,                0.98216,                 1.8532,                0.93319,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.0992,                 1.3127,                0.96931,                0.87078,                0.81414,                 0.9543,                0.75701,                0.88267,                 1.7296,                0.91554,              0.0006374,              0.0006374,              0.0006374
                     10,                 1.0344,                 1.2627,                 0.9837,                0.89624,                0.94905,                0.97627,                0.76088,                 0.9502,                  1.338,                0.93942,             0.00069287,             0.00069287,             0.00069287
                     11,                 1.1711,                 1.0878,                0.96994,                 0.8924,                0.95464,                0.97458,                0.75666,                0.97547,                 1.2307,                0.94424,             0.00074494,             0.00074494,             0.00074494
                     12,                 1.2955,                 1.3724,                0.98116,                0.90121,                0.82298,                0.93122,                0.71219,                 0.9841,                 1.2795,                0.94128,             0.00079361,             0.00079361,             0.00079361
                     13,                 1.0966,                 1.0367,                0.97676,                0.87612,                0.79882,                0.91936,                0.70318,                 1.0028,                 1.3968,                0.94295,             0.00083889,             0.00083889,             0.00083889
                     14,                 1.0599,                0.92227,                0.93808,                0.88786,                0.84486,                0.91201,                0.70147,                0.94847,                 1.4211,                0.93818,             0.00088078,             0.00088078,             0.00088078
                     15,                 1.0506,                0.96423,                0.92721,                0.88786,                0.84486,                0.91201,                0.70147,                0.94847,                 1.4211,                0.93818,             0.00091926,             0.00091926,             0.00091926
                     16,                 1.1864,                 1.3716,                 1.0439,                0.81505,                0.83211,                0.87238,                0.63464,                  1.038,                   1.58,                0.98724,             0.00095436,             0.00095436,             0.00095436
