                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.1377,                 1.1113,                0.95454,                0.81862,                0.84486,                0.86579,                0.58586,                 1.1513,                 1.6484,                 1.0255,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1429,                 1.1074,                 0.9956,                0.83198,                0.82732,                0.89472,                0.65387,                 1.0766,                 1.5236,                0.97681,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.1107,                 1.1552,                 1.0308,                0.83198,                0.82732,                0.89472,                0.65387,                 1.0766,                 1.5236,                0.97681,               0.000948,               0.000948,               0.000948
                     20,                 1.1098,                0.95668,                0.94842,                0.89174,                0.82691,                0.94968,                0.70684,                 1.0176,                 1.2079,                0.93654,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.0819,                 1.0123,                0.98585,                0.91584,                0.82636,                0.97032,                0.74976,                0.97579,                 1.1075,                0.91708,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.0726,                0.95508,                0.94001,                0.93819,                0.83572,                0.97413,                0.75826,                  0.951,                 1.0275,                0.91549,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.0003,                 0.9259,                0.95281,                0.93819,                0.83572,                0.97413,                0.75826,                  0.951,                 1.0275,                0.91549,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.0533,                0.93272,                0.97277,                 0.9286,                0.84237,                0.97653,                0.73931,                 1.0264,                 1.0192,                 0.9469,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.1683,                 1.3155,                 1.0534,                0.83614,                0.93773,                0.97994,                0.72993,                 1.0636,                 1.0505,                0.95976,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.1301,                0.94819,                0.96513,                0.88456,                 0.8377,                0.97801,                0.75404,                0.95248,                 1.0598,                0.92287,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.0867,                0.93845,                0.93212,                0.88456,                 0.8377,                0.97801,                0.75404,                0.95248,                 1.0598,                0.92287,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.0089,                0.88208,                0.94579,                0.85596,                0.89891,                0.97749,                0.75577,                0.91558,                 1.0637,                0.90899,             0.00069335,             0.00069335,             0.00069335
                     29,                  1.064,                 1.0172,                0.93486,                0.89719,                0.84008,                0.97338,                0.76339,                0.91094,                  1.134,                0.89999,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.1222,                 1.0817,                 1.0126,                0.96118,                0.83551,                0.97001,                0.76555,                0.92927,                 1.1449,                0.89947,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.0801,                 0.9255,                0.94155,                0.96118,                0.83551,                0.97001,                0.76555,                0.92927,                 1.1449,                0.89947,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.0547,                0.92894,                0.96607,                0.90316,                0.84207,                 0.9637,                0.75112,                0.94125,                 1.1103,                0.90462,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.2975,                 2.7572,                 1.2364,                0.96227,                 0.8467,                0.96218,                0.75616,                 0.9158,                 1.0384,                 0.9007,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.2359,                 1.3759,                 1.2524,                0.95945,                0.84671,                0.96584,                0.77378,                0.88831,                0.95278,                0.89989,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.0583,                0.82471,                0.92864,                0.95945,                0.84671,                0.96584,                0.77378,                0.88831,                0.95278,                0.89989,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.0476,                0.88868,                0.94329,                0.96119,                0.84654,                0.96843,                0.76778,                 0.8884,                 0.9355,                0.90098,               0.000467,               0.000467,               0.000467
                     37,                 1.0142,                0.95331,                0.93531,                0.95633,                0.84408,                0.96575,                0.76599,                0.91155,                0.94841,                0.90491,              0.0004387,              0.0004387,              0.0004387
                     38,                0.90053,                 1.0796,                0.92903,                0.95669,                0.83739,                0.95984,                0.76343,                0.92739,                0.95244,                0.90595,             0.00041041,             0.00041041,             0.00041041
                     39,                0.92288,                 1.0267,                0.97094,                0.95669,                0.83739,                0.95984,                0.76343,                0.92739,                0.95244,                0.90595,             0.00038211,             0.00038211,             0.00038211
                     40,                0.99075,                0.91858,                0.94611,                0.94149,                0.85191,                0.95986,                0.76751,                0.90347,                0.91963,                0.89767,             0.00035382,             0.00035382,             0.00035382
                     41,                0.97766,                0.82638,                0.95407,                0.89766,                0.93559,                0.95552,                0.76058,                0.87288,                0.92247,                0.88692,             0.00032553,             0.00032553,             0.00032553
                     42,                0.93692,                0.77611,                0.90106,                0.91758,                0.90052,                0.95609,                0.76153,                0.85645,                0.93354,                0.88204,             0.00029723,             0.00029723,             0.00029723
                     43,                0.99492,                0.90544,                0.95245,                0.91758,                0.90052,                0.95609,                0.76153,                0.85645,                0.93354,                0.88204,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0345,                 1.1659,                 1.2253,                0.88596,                0.93559,                0.95358,                0.77815,                0.85835,                0.94655,                0.88638,             0.00024064,             0.00024064,             0.00024064
                     45,                0.92272,                0.73835,                0.89524,                0.90497,                0.93478,                0.95469,                0.77782,                0.85902,                0.94357,                0.88967,             0.00021235,             0.00021235,             0.00021235
                     46,                0.96239,                0.72895,                0.92024,                 0.9048,                0.93559,                 0.9586,                0.78587,                0.86234,                  0.916,                0.89185,             0.00018406,             0.00018406,             0.00018406
                     47,                0.85069,                0.97247,                0.86766,                 0.9048,                0.93559,                 0.9586,                0.78587,                0.86234,                  0.916,                0.89185,             0.00015576,             0.00015576,             0.00015576
                     48,                0.92383,                0.80595,                0.90561,                0.89997,                0.93886,                 0.9638,                 0.7913,                0.87038,                 0.8803,                0.89444,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.2055,                 1.1125,                0.92276,                0.90055,                 0.9385,                 0.9615,                0.78894,                0.87873,                0.86411,                0.89641,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.91713,                0.86928,                0.88419,                0.94344,                 0.9112,                0.96702,                0.78683,                 0.8831,                0.84352,                0.89734,             7.0878e-05,             7.0878e-05,             7.0878e-05
