                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0867,                0.82669,                 0.9148,                0.82081,                0.90788,                0.89473,                0.69883,                0.95936,                0.66188,                0.90479,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1193,                 1.2921,                0.93116,                0.81963,                0.92216,                0.90715,                0.70633,                0.96084,                0.65679,                0.90563,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.0749,                0.79582,                0.88901,                0.83952,                0.88645,                0.91788,                0.71143,                0.93396,                0.64945,                 0.9029,               0.000359,               0.000359,               0.000359
                     39,                 1.0098,                0.80431,                0.90461,                0.83952,                0.88645,                0.91788,                0.71143,                0.93396,                0.64945,                 0.9029,             0.00033425,             0.00033425,             0.00033425
                     40,                0.99168,                0.88641,                0.89457,                0.87386,                0.88645,                0.92817,                0.71093,                 0.9337,                 0.6479,                0.90319,              0.0003095,              0.0003095,              0.0003095
                     41,                0.96579,                0.73614,                 0.8881,                0.89909,                0.89359,                0.93518,                0.72519,                0.93587,                0.64241,                0.90257,             0.00028475,             0.00028475,             0.00028475
                     42,                0.95096,                0.71266,                0.88618,                0.91944,                0.90073,                0.94291,                0.72762,                0.94308,                0.63555,                0.90271,                0.00026,                0.00026,                0.00026
                     43,                 1.0047,                0.78719,                0.90628,                0.91944,                0.90073,                0.94291,                0.72762,                0.94308,                0.63555,                0.90271,             0.00023525,             0.00023525,             0.00023525
                     44,                0.95482,                0.77355,                 0.9373,                0.91586,                 0.9001,                0.94377,                0.72365,                0.96062,                0.63606,                0.90649,              0.0002105,              0.0002105,              0.0002105
                     45,                0.94858,                0.71039,                0.90236,                0.91088,                0.89722,                0.94918,                0.72583,                0.95973,                0.63525,                0.90772,             0.00018575,             0.00018575,             0.00018575
                     46,                0.98777,                0.69315,                0.88555,                0.92615,                0.89359,                0.95283,                 0.7276,                0.94493,                   0.63,                0.90493,               0.000161,               0.000161,               0.000161
                     47,                0.95934,                0.69823,                0.88623,                0.92615,                0.89359,                0.95283,                 0.7276,                0.94493,                   0.63,                0.90493,             0.00013625,             0.00013625,             0.00013625
                     48,                0.98525,                0.69319,                0.90493,                0.93932,                0.89359,                0.95624,                0.73546,                0.93052,                0.62406,                  0.902,              0.0001115,              0.0001115,              0.0001115
                     49,                0.98462,                0.69788,                0.89901,                0.90001,                 0.9253,                0.96254,                0.73219,                0.91937,                 0.6214,                0.90005,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.95233,                0.69305,                 0.9034,                0.90125,                0.93971,                0.96577,                0.73729,                0.91556,                0.61777,                0.89917,                6.2e-05,                6.2e-05,                6.2e-05
